date,store_nbr,transactions,day_of_week
2013-01-01,1.0,0.0,Tuesday
2013-01-02,1.0,2111.0,Wednesday
2013-01-03,1.0,1833.0,Thursday
2013-01-04,1.0,1863.0,Friday
2013-01-05,1.0,1509.0,Saturday
2013-01-06,1.0,520.0,Sunday
2013-01-07,1.0,1807.0,Monday
2013-01-08,1.0,1869.0,Tuesday
2013-01-09,1.0,1910.0,Wednesday
2013-01-10,1.0,1679.0,Thursday
2013-01-11,1.0,1813.0,Friday
2013-01-12,1.0,1473.0,Saturday
2013-01-13,1.0,542.0,Sunday
2013-01-14,1.0,1780.0,Monday
2013-01-15,1.0,1680.0,Tuesday
2013-01-16,1.0,1933.0,Wednesday
2013-01-17,1.0,1786.0,Thursday
2013-01-18,1.0,1745.0,Friday
2013-01-19,1.0,1389.0,Saturday
2013-01-20,1.0,507.0,Sunday
2013-01-21,1.0,1770.0,Monday
2013-01-22,1.0,1762.0,Tuesday
2013-01-23,1.0,1873.0,Wednesday
2013-01-24,1.0,1616.0,Thursday
2013-01-25,1.0,1770.0,Friday
2013-01-26,1.0,1295.0,Saturday
2013-01-27,1.0,542.0,Sunday
2013-01-28,1.0,1738.0,Monday
2013-01-29,1.0,1772.0,Tuesday
2013-01-30,1.0,1877.0,Wednesday
2013-01-31,1.0,1707.0,Thursday
2013-02-01,1.0,1806.0,Friday
2013-02-02,1.0,1377.0,Saturday
2013-02-03,1.0,531.0,Sunday
2013-02-04,1.0,1714.0,Monday
2013-02-05,1.0,1775.0,Tuesday
2013-02-06,1.0,1853.0,Wednesday
2013-02-07,1.0,1727.0,Thursday
2013-02-08,1.0,1878.0,Friday
2013-02-09,1.0,1104.0,Saturday
2013-02-10,1.0,374.0,Sunday
2013-02-11,1.0,396.0,Monday
2013-02-12,1.0,487.0,Tuesday
2013-02-13,1.0,1921.0,Wednesday
2013-02-14,1.0,2119.0,Thursday
2013-02-15,1.0,1787.0,Friday
2013-02-16,1.0,1263.0,Saturday
2013-02-17,1.0,399.0,Sunday
2013-02-18,1.0,1742.0,Monday
2013-02-19,1.0,1806.0,Tuesday
2013-02-20,1.0,1835.0,Wednesday
2013-02-21,1.0,1756.0,Thursday
2013-02-22,1.0,1805.0,Friday
2013-02-23,1.0,1448.0,Saturday
2013-02-24,1.0,512.0,Sunday
2013-02-25,1.0,1760.0,Monday
2013-02-26,1.0,1804.0,Tuesday
2013-02-27,1.0,1845.0,Wednesday
2013-02-28,1.0,1763.0,Thursday
2013-03-01,1.0,1916.0,Friday
2013-03-02,1.0,1332.0,Saturday
2013-03-03,1.0,547.0,Sunday
2013-03-04,1.0,1841.0,Monday
2013-03-05,1.0,1750.0,Tuesday
2013-03-06,1.0,1929.0,Wednesday
2013-03-07,1.0,1751.0,Thursday
2013-03-08,1.0,1960.0,Friday
2013-03-09,1.0,1337.0,Saturday
2013-03-10,1.0,538.0,Sunday
2013-03-11,1.0,1874.0,Monday
2013-03-12,1.0,1734.0,Tuesday
2013-03-13,1.0,1841.0,Wednesday
2013-03-14,1.0,1751.0,Thursday
2013-03-15,1.0,1812.0,Friday
2013-03-16,1.0,1238.0,Saturday
2013-03-17,1.0,561.0,Sunday
2013-03-18,1.0,1696.0,Monday
2013-03-19,1.0,1728.0,Tuesday
2013-03-20,1.0,1879.0,Wednesday
2013-03-21,1.0,1727.0,Thursday
2013-03-22,1.0,1689.0,Friday
2013-03-23,1.0,1358.0,Saturday
2013-03-24,1.0,531.0,Sunday
2013-03-25,1.0,1770.0,Monday
2013-03-26,1.0,1700.0,Tuesday
2013-03-27,1.0,1840.0,Wednesday
2013-03-28,1.0,1729.0,Thursday
2013-03-29,1.0,474.0,Friday
2013-03-30,1.0,1002.0,Saturday
2013-03-31,1.0,464.0,Sunday
2013-04-01,1.0,1894.0,Monday
2013-04-02,1.0,1705.0,Tuesday
2013-04-03,1.0,1912.0,Wednesday
2013-04-04,1.0,1723.0,Thursday
2013-04-05,1.0,1899.0,Friday
2013-04-06,1.0,1349.0,Saturday
2013-04-07,1.0,521.0,Sunday
2013-04-08,1.0,1824.0,Monday
2013-04-09,1.0,1744.0,Tuesday
2013-04-10,1.0,1916.0,Wednesday
2013-04-11,1.0,1638.0,Thursday
2013-04-12,1.0,1860.0,Friday
2013-04-13,1.0,1338.0,Saturday
2013-04-14,1.0,525.0,Sunday
2013-04-15,1.0,1804.0,Monday
2013-04-16,1.0,1757.0,Tuesday
2013-04-17,1.0,1807.0,Wednesday
2013-04-18,1.0,1607.0,Thursday
2013-04-19,1.0,1737.0,Friday
2013-04-20,1.0,1335.0,Saturday
2013-04-21,1.0,505.0,Sunday
2013-04-22,1.0,1838.0,Monday
2013-04-23,1.0,1697.0,Tuesday
2013-04-24,1.0,1921.0,Wednesday
2013-04-25,1.0,1660.0,Thursday
2013-04-26,1.0,1843.0,Friday
2013-04-27,1.0,1314.0,Saturday
2013-04-28,1.0,517.0,Sunday
2013-04-29,1.0,1653.0,Monday
2013-04-30,1.0,1897.0,Tuesday
2013-05-01,1.0,613.0,Wednesday
2013-05-02,1.0,1763.0,Thursday
2013-05-03,1.0,1847.0,Friday
2013-05-04,1.0,1347.0,Saturday
2013-05-05,1.0,538.0,Sunday
2013-05-06,1.0,1834.0,Monday
2013-05-07,1.0,1792.0,Tuesday
2013-05-08,1.0,1904.0,Wednesday
2013-05-09,1.0,1813.0,Thursday
2013-05-10,1.0,1959.0,Friday
2013-05-11,1.0,1488.0,Saturday
2013-05-12,1.0,549.0,Sunday
2013-05-13,1.0,1784.0,Monday
2013-05-14,1.0,1747.0,Tuesday
2013-05-15,1.0,1887.0,Wednesday
2013-05-16,1.0,1781.0,Thursday
2013-05-17,1.0,1883.0,Friday
2013-05-18,1.0,1299.0,Saturday
2013-05-19,1.0,497.0,Sunday
2013-05-20,1.0,1732.0,Monday
2013-05-21,1.0,1692.0,Tuesday
2013-05-22,1.0,1865.0,Wednesday
2013-05-23,1.0,1753.0,Thursday
2013-05-24,1.0,496.0,Friday
2013-05-25,1.0,1107.0,Saturday
2013-05-26,1.0,411.0,Sunday
2013-05-27,1.0,1748.0,Monday
2013-05-28,1.0,1787.0,Tuesday
2013-05-29,1.0,1815.0,Wednesday
2013-05-30,1.0,1737.0,Thursday
2013-05-31,1.0,1818.0,Friday
2013-06-01,1.0,1357.0,Saturday
2013-06-02,1.0,430.0,Sunday
2013-06-03,1.0,1882.0,Monday
2013-06-04,1.0,1785.0,Tuesday
2013-06-05,1.0,1845.0,Wednesday
2013-06-06,1.0,1815.0,Thursday
2013-06-07,1.0,1885.0,Friday
2013-06-08,1.0,1279.0,Saturday
2013-06-09,1.0,510.0,Sunday
2013-06-10,1.0,1826.0,Monday
2013-06-11,1.0,1855.0,Tuesday
2013-06-12,1.0,1863.0,Wednesday
2013-06-13,1.0,1711.0,Thursday
2013-06-14,1.0,1856.0,Friday
2013-06-15,1.0,1356.0,Saturday
2013-06-16,1.0,541.0,Sunday
2013-06-17,1.0,1786.0,Monday
2013-06-18,1.0,1775.0,Tuesday
2013-06-19,1.0,1783.0,Wednesday
2013-06-20,1.0,1629.0,Thursday
2013-06-21,1.0,1700.0,Friday
2013-06-22,1.0,1295.0,Saturday
